Lychnofolide
C\1(=C\[C@@H]2[C@@H]([C@H](C[C@@]3(C(=O)C=C1O3)C)OC(=O)/C(=C\C)/C)C(=C)C(=O)O2)/C
C20H22O6
1.00	0.00	204.90
2.00	5.72	104.70
3.00	0.00	186.90
4.00	0.00	130.30
5α	6.01	135.10
5β	0.00	0.00
6.00	5.30	81.70
7.00	3.71	51.20
8.00	4.53	73.00
9α	2.48	44.00
9β	2.30	0.00
10.00	0.00	89.70
11.00	0.00	133.70
12.00	0.00	168.90
13a	5.44	124.30
13b	6.22	0.00
14.00	1.53	20.70
15a	2.08	20.40
15b	0.00	0.00
OH	0.00	0.00
1`	0.00	167.10
2`	0.00	126.40
3a`	6.08	140.80
3b`	0.00	0.00
4`	1.89	15.70
4b'	0.00	0.00
5`	1.78	20.00


