Nicotiflorin CD3OD	Oliveira_Djalma_et_al
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O	
594.522
Number	1H	13C
2	-	158.74
3	-	135.68
4	-	178.63
5 	-	164.74
6	6.22	100.13 
7 	-	166.20
8	6.42 	95.05
9 	-	159.59
10 	-	105.39
1' 	-	122.94
2'	8.07	132.53		 
3'	6.80	116.30
4'	-	161.67
5'	6.80	116.30
6'	8.07	132.53
1"	5.13	104.72	 
2"	-	75.93
3"	-	77.40		 
4"	-	71.62
5"	-	78.32
6"	3.81	18.06		
1"'	4.52	102.60		 
2"'	3.63	72.46
3"'	3.52	72.46
4"'	3.27	74.06	 
5"'	3.48	69.89	
6'"	1.12	18.06
	
