Rutin CD3OD	Oliveira_Djalma_et_al
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O
610.521
Number	1H	13C
2	-	158.69
3	-	136.72
4	-	179.61
5 	-	162.17
6	6.22	100.10 
7 	-	167.19
8	6.41	95.01
9 	-	159.51
10 	-	106.06
1' 	-	123.30
2'	7.67	117.84	 
3'	-	146.02
4'	-	150.45
5'	6.88	116.22
6'	7.63	123.70
1"	5.11	104.85	 
2"	-	75.90
3"	-	77.41		 
4"	-	71.57
5"	-	78.36
6"	3.81	68.72	
1"'	4.52	102.58		 
2"'	3.63	72.27
3"'	3.54	72.41
4"'	-	74.10	 
5"'	3.44	70.59
6'"	1.27	18.03
	
