15&apos;-(3,4-Methylenedioxyphenyl)-pentadecanoic acid
OC(CCCCCCCCCCCCCCC1=CC(OCO2)=C2C=C1)=O
362.503
Number	1H	13C	1H_nh	1H_error	13C_error
1a	10.57	-	1	1.34	-
3a,3b	2.35	34.25	2	0.03	0.41
4a,4b	1.64	24.83	2	0.00	0.13
5a,5b	1.37	29.22	2	0.01	0.05
6a,6b	1.46	29.49	2	0.01	0.08
7a,7b	1.31	29.66	2	0.05	0.04
8a,8b	1.27	29.86	2	0.00	0.14
9a,9b	1.27	29.59	2	0.00	0.16
10a,10b	1.27	29.60	2	0.00	0.08
11a,11b	1.26	29.60	2	0.01	0.11
12a,12b	1.29	29.55	2	0.05	0.08
13a,13b	1.30	29.50	2	0.10	0.01
14a,14b	1.28	29.75	2	0.06	0.52
15a,15b	1.55	31.80	2	0.01	0.29
16a,16b	2.51	35.70	2	0.00	0.07
18a	6.67	108.80	1	0.00	0.00
21b	5.91	100.70	1	0.01	0.00
21a	5.91	100.70	1	0.01	0.00
24a	6.71	108.00	1	0.00	0.00
25a	6.62	121.00	1	0.00	0.00
2	-	179.09	-	-	2.23
17	-	136.80	-	-	0.00
19	-	145.30	-	-	0.00
23	-	146.35	-	-	1.48
