7-Methyl-sargachromenol; 2,7,8-Trimethyl-2-[(3-E,7-Z)-4,12-dimethyl-8-carboxyl-3,7,11-tridecatrienyl]-3-chromen-6-ol, β-caroteno
OC1=C(C)C(C)=C(OC(CC/C=C(C)/CC/C=C(C(O)=O)/CC/C=C(C)/C)(C)C=C2)C2=C1
438.599
Number	1H	13C	1H_nh	1H_error	13C_error
1a	4.22	-	1	0.49	-
4a,4b,4c	2.14	12.08	3	0.00	0.01
6a,6b,6c	2.13	11.65	3	0.05	0.83
10b	1.75	40.73	1	0.01	0.30
10a	1.56	40.73	1	0.01	0.30
11a,11b	2.17	21.27	2	0.12	0.67
12a	5.06	125.00	1	0.03	0.29
14a,14b,14c	1.59	17.59	3	0.03	1.83
15a,15b	2.10	36.68	2	0.04	1.14
16a,16b	2.40	28.52	2	0.09	0.36
17a	6.20	143.40	1	0.27	0.11
20a	11.67	-	1	1.53	-
22a,22b	2.28	28.80	2	0.18	4.24
23a,23b	2.18	26.49	2	0.07	1.28
24a	4.96	120.57	1	0.07	1.73
26a,26b,26c,27a,27b,27c	1.61	20.46	6	0.22	3.47
28a,28b,28c	1.37	26.39	3	0.02	0.40
29a	5.77	130.46	1	0.10	0.76
30a	6.25	121.61	1	0.03	1.07
32a	6.31	109.76	1	0.05	0.78
2	-	146.84	-	-	0.77
3	-	123.25	-	-	0.17
5	-	125.10	-	-	0.45
7	-	144.60	-	-	0.08
9	-	79.95	-	-	1.34
13	-	134.19	-	-	0.40
18	-	131.25	-	-	0.48
19	-	171.50	-	-	0.37
25	-	132.33	-	-	6.79
27	-	20.46	-	-	3.47
31	-	119.92	-	-	0.76
