Afzelin, 3-O-α-rhamnosyl kaempferol
OC3=CC=C(C=C3)C2=C(O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)C(C1=C(O)C=C(O)C=C1O2)=O
432.378
Number	1H	13C	1H_nh	1H_error	13C_error
1a	8.04	-	1	1.70	-
3a	7.02	116.01	1	0.26	0.08
4a	7.81	132.95	1	0.39	0.53
6a	7.81	132.95	1	0.39	0.53
7a	7.02	116.01	1	0.26	0.08
11a	5.48	100.00	1	0.37	1.31
14a	3.82	71.82	1	0.21	0.12
16a,16b,16c	1.25	17.54	3	0.04	0.44
17a	3.39	71.21	1	0.05	1.49
19a	4.73	-	1	0.40	-
20a	3.66	72.62	1	0.12	0.25
22a	4.52	-	1	0.51	-
23a	3.82	72.44	1	0.39	0.65
25a	4.09	-	1	0.05	-
29a	12.42	-	1	0.14	-
30a	6.21	99.54	1	0.20	0.59
32a	9.56	-	1	1.71	-
33a	6.22	95.55	1	0.23	2.61
2	-	158.30	-	-	2.95
5	-	123.97	-	-	4.14
8	-	157.18	-	-	0.00
9	-	144.17	-	-	0.76
26	-	177.13	-	-	4.04
27	-	103.35	-	-	1.65
28	-	165.08	-	-	0.91
31	-	165.49	-	-	0.76
34	-	157.27	-	-	1.19
