Apigenin; (6aS,11aS)-3- hydroxy-8,9-methylenedioxypterocarpan; 5,7,4&apos;-trihydroxyflavone
OC(C=C3)=CC=C3C2=CC(C1=C(O)C=C(O)C=C1O2)=O
270.237
Number	1H	13C	1H_nh	1H_error	13C_error
1a	8.04	-	1	1.69	-
3a	7.02	116.00	1	0.26	0.08
4a	7.81	132.27	1	0.39	1.00
5a	7.02	116.00	1	0.26	0.08
6a	7.81	132.27	1	0.39	1.00
9a	6.68	102.91	1	0.00	6.52
13a	12.42	-	1	0.01	-
14a	6.21	99.41	1	0.20	0.66
16a	9.56	-	1	1.71	-
17a	6.22	95.46	1	0.23	2.64
2	-	159.74	-	-	3.05
7	-	123.33	-	-	4.37
8	-	164.76	-	-	0.00
10	-	178.86	-	-	2.54
11	-	101.80	-	-	2.58
12	-	164.52	-	-	1.30
15	-	164.26	-	-	0.91
18	-	157.51	-	-	1.22
