Apigenin 8-C-β-D-glucopyranoside
OC1=CC=C(C3CC(C2=C(C=C([C@]([C@H](O[C@@H]([C@H]([C@@H]4O)O)CO)[C@@H]4O)=C2O3)O)O)=O)C=C1
434.393
Number	1H	13C	1H_nh	1H_error	13C_error
1a	6.31	-	1	1.84	-
3a	6.83	115.89	1	0.08	0.53
4a	7.33	128.44	1	0.11	0.70
6a	5.39	79.87	1	0.17	1.02
7b	3.11	43.41	1	0.15	0.69
7a	2.83	43.41	1	0.15	0.69
11a	5.94	97.00	1	0.07	0.89
14a	4.99	73.93	1	0.15	0.85
17a	3.66	81.75	1	0.20	0.53
19a	3.56	70.42	1	0.20	1.76
21a	3.64	78.69	1	0.16	1.13
23a	4.84	-	1	0.43	-
24a	4.81	-	1	0.08	-
25a	3.44	62.94	1	0.19	1.06
25b	3.66	62.94	1	0.08	1.06
26a	4.48	-	1	0.10	-
27a	4.24	71.53	1	0.21	1.11
29a	4.63	-	1	0.08	-
32a	9.65	-	1	0.94	-
33a	12.19	-	1	0.21	-
35a	7.33	128.44	1	0.11	0.70
36a	6.83	115.89	1	0.08	0.53
2	-	158.27	-	-	1.07
5	-	131.06	-	-	1.03
8	-	197.43	-	-	0.75
9	-	102.50	-	-	0.81
10	-	162.83	-	-	1.27
12	-	164.76	-	-	1.12
13	-	103.64	-	-	5.86
30	-	163.27	-	-	3.20
