Isoquercitrin, Quercetin-3-O-β-D-glucoside
O=C2C1=C(O)C=C(O)C=C1OC(C4=CC=C(O)C(O)=C4)=C2O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3
464.376
Number	1H	13C	1H_nh	1H_error	13C_error
5a	12.42	-	1	0.14	-
6a	6.21	99.32	1	0.20	0.67
8a	9.56	-	1	1.71	-
9a	6.22	95.31	1	0.23	2.68
14a	7.63	123.94	1	0.39	6.90
15a	6.98	116.38	1	0.18	0.65
17a	8.76	-	1	0.88	-
19a	8.71	-	1	2.12	-
20a	7.57	115.75	1	0.30	3.20
23a	5.57	101.86	1	0.37	1.33
25a	3.82	73.49	1	0.39	0.65
27a	4.09	-	1	0.17	-
28a	3.96	78.68	1	0.38	0.65
30a	4.89	-	1	0.82	-
31a	4.01	70.66	1	0.44	0.39
33a	5.09	-	1	0.74	-
34a	4.04	79.23	1	0.32	0.66
36a	3.76	62.38	1	0.34	0.15
36b	3.87	62.38	1	0.30	0.15
37a	4.44	-	1	0.94	-
2	-	177.36	-	-	4.04
3	-	103.35	-	-	1.65
4	-	165.08	-	-	0.91
7	-	164.95	-	-	1.17
10	-	157.70	-	-	1.24
12	-	158.88	-	-	0.00
13	-	123.78	-	-	4.20
16	-	149.25	-	-	1.58
18	-	146.17	-	-	2.27
21	-	144.73	-	-	1.15
