Kaempferitrin
O[C@@H]1[C@@H]([C@H]([C@@H](O[C@H]1OC5=CC(O)=C4C(C(O[C@@H]2O[C@H]([C@@H]([C@H]([C@H]2O)O)O)C)=C(OC4=C5)C3=CC=C(C=C3)O)=O)C)O)O
578.519
Number	1H	13C	1H_nh	1H_error	13C_error
1a	5.33	-	1	0.45	-
2a	3.79	73.37	1	0.15	1.21
4a	3.74	71.95	1	0.01	2.02
6a	4.41	73.49	1	0.01	1.50
8a	3.74	70.22	1	0.24	1.70
11a	5.51	99.88	1	0.37	0.05
15a	6.46	100.54	1	0.20	0.10
17a	12.42	-	1	0.22	-
22a	5.48	100.00	1	0.37	1.31
25a	3.82	71.82	1	0.21	0.12
27a	3.39	71.21	1	0.05	1.49
29a	3.66	72.62	1	0.12	0.25
31a	3.82	72.44	1	0.39	0.65
33a	4.09	-	1	0.05	-
34a	4.52	-	1	0.51	-
35a	4.73	-	1	0.40	-
36a,36b,36c	1.25	17.54	3	0.04	0.44
40a	6.70	96.51	1	0.20	2.35
42a	7.81	132.95	1	0.39	0.53
43a	7.02	116.01	1	0.26	0.08
45a	7.02	116.01	1	0.26	0.08
46a	7.81	132.95	1	0.39	0.53
47a	8.04	-	1	1.70	-
49a,49b,49c	1.26	17.47	3	0.01	0.57
50a	4.83	-	1	0.56	-
51a	4.91	-	1	0.91	-
14	-	162.12	-	-	0.91
16	-	166.32	-	-	0.03
18	-	104.85	-	-	1.43
19	-	177.08	-	-	4.04
20	-	144.35	-	-	0.88
37	-	156.92	-	-	0.00
39	-	156.95	-	-	1.16
41	-	123.98	-	-	4.14
44	-	158.30	-	-	2.95
