Kaempferol-3-O-D-galactopyranoside
OC4=C3C(C(O[C@H](O[C@@H]([C@@H]([C@@H]1O)O)CO)[C@@H]1O)=C(OC3=CC(O)=C4)C2=CC=C(C=C2)O)=O
448.377
Number	1H	13C	1H_nh	1H_error	13C_error
1a	12.42	-	1	0.14	-
7a	5.55	101.92	1	0.37	1.33
10a	4.04	79.23	1	0.32	0.66
12a	4.01	70.66	1	0.44	0.39
14a	3.96	78.68	1	0.38	0.65
16a	4.89	-	1	0.82	-
17a	5.09	-	1	0.74	-
18a	3.76	62.38	1	0.34	0.15
18b	3.87	62.38	1	0.30	0.15
19a	4.44	-	1	0.94	-
20a	3.82	73.49	1	0.39	0.65
22a	4.09	-	1	0.17	-
26a	6.22	95.55	1	0.23	2.61
28a	9.56	-	1	1.71	-
29a	6.21	99.20	1	0.20	0.85
31a	7.81	132.95	1	0.39	0.53
32a	7.02	116.01	1	0.26	0.08
34a	7.02	116.01	1	0.26	0.08
35a	7.81	132.95	1	0.39	0.53
36a	8.04	-	1	1.70	-
2	-	165.08	-	-	0.91
3	-	103.35	-	-	1.65
4	-	177.13	-	-	4.04
5	-	144.50	-	-	0.99
23	-	157.78	-	-	0.00
25	-	157.27	-	-	1.19
27	-	164.75	-	-	1.25
30	-	123.97	-	-	4.14
33	-	158.30	-	-	2.95
