Kaempferol-3-O-rutinoside
OC5=C4C(C(O[C@H](O[C@@H]([C@H]([C@@H]2O)O)CO[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)[C@@H]2O)=C(OC4=CC(O)=C5)C3=CC=C(C=C3)O)=O
594.518
Number	1H	13C	1H_nh	1H_error	13C_error
1a	12.42	-	1	0.14	-
7a	5.57	102.04	1	0.37	1.33
10a	4.20	77.57	1	0.28	1.23
12a	4.02	69.66	1	0.38	1.57
14a	3.87	78.62	1	0.38	0.65
16a	4.89	-	1	0.83	-
17a	5.53	-	1	1.23	-
18a	3.90	66.83	1	0.25	1.42
18b	4.26	66.83	1	0.28	1.42
20a	4.51	103.10	1	0.18	1.63
22a	3.62	73.75	1	0.02	0.99
24a	3.51	72.64	1	0.00	0.57
26a	3.27	73.51	1	0.00	1.13
28a	3.44	68.63	1	0.00	1.95
31a,31b,31c	1.11	16.29	3	0.00	0.86
32a	4.53	-	1	0.28	-
33a	4.45	-	1	0.34	-
34a	5.57	-	1	1.10	-
35a	3.80	73.31	1	0.39	0.65
37a	4.09	-	1	0.11	-
41a	6.22	95.55	1	0.23	2.61
43a	9.56	-	1	1.71	-
44a	6.21	99.43	1	0.20	0.56
46a	7.81	132.95	1	0.39	0.53
47a	7.02	116.01	1	0.26	0.08
49a	7.02	116.01	1	0.26	0.08
50a	7.81	132.95	1	0.39	0.53
51a	8.04	-	1	1.70	-
2	-	165.08	-	-	0.91
3	-	103.35	-	-	1.65
4	-	177.13	-	-	4.04
5	-	144.50	-	-	0.99
38	-	157.78	-	-	0.00
40	-	157.27	-	-	1.19
42	-	165.12	-	-	0.97
45	-	123.97	-	-	4.14
48	-	158.30	-	-	2.95
