Kaempferol-3-O-α-L-(4&apos;&apos;-E-p-coumaroyl)-rhamnoside
OC5=CC4=C(C(O)=C5)C(C(O[C@@H]2O[C@H]([C@@H]([C@H]([C@H]2O)O)OC(/C=C/C1=CC=C(C=C1)O)=O)C)=C(O4)C3=CC=C(C=C3)O)=O
578.52
Number	1H	13C	1H_nh	1H_error	13C_error
1a	9.56	-	1	1.71	-
3a	6.22	95.55	1	0.23	2.61
7a	12.42	-	1	0.14	-
8a	6.21	99.40	1	0.20	0.83
12a	5.53	99.64	1	0.37	1.31
15a	3.75	71.32	1	0.20	0.32
17a	4.88	79.04	1	0.06	2.72
19a	4.05	74.18	1	0.34	0.99
21a	3.89	71.90	1	0.39	0.66
23a	4.09	-	1	0.17	-
24a	3.99	-	1	0.94	-
27a	6.08	115.40	1	0.05	0.27
28a	6.98	146.45	1	0.18	0.23
30a	7.31	131.20	1	0.05	0.21
31a	6.76	116.80	1	0.04	0.30
33a	6.76	116.80	1	0.04	0.30
34a	7.31	131.20	1	0.05	0.21
35a	7.84	-	1	0.01	-
37a,37b,37c	1.23	16.92	3	0.10	0.38
41a	7.81	132.95	1	0.39	0.53
42a	7.02	116.01	1	0.26	0.08
44a	7.02	116.01	1	0.26	0.08
45a	7.81	132.95	1	0.39	0.53
46a	8.04	-	1	1.70	-
2	-	165.13	-	-	1.23
4	-	157.27	-	-	1.19
5	-	103.35	-	-	1.65
6	-	165.08	-	-	0.91
9	-	177.13	-	-	4.04
10	-	144.17	-	-	0.76
26	-	167.26	-	-	0.34
29	-	127.71	-	-	0.36
32	-	161.15	-	-	1.11
38	-	157.18	-	-	0.00
40	-	123.97	-	-	4.14
43	-	158.30	-	-	2.95
