Kaempferol-3-O-α-L-(4&apos;&apos;-Z-p-coumaroyl)-rhamnoside
OC5=CC4=C(C(O)=C5)C(C(O[C@@H]2O[C@H]([C@@H]([C@H]([C@H]2O)O)OC(/C=CC1=CC(O)=CC=C1)=O)C)=C(O4)C3=CC=C(C=C3)O)=O
578.52
Number	1H	13C	1H_nh	1H_error	13C_error
1a	9.56	-	1	1.71	-
3a	6.22	95.55	1	0.23	2.61
7a	12.42	-	1	0.14	-
8a	6.21	99.40	1	0.20	0.83
12a	5.53	99.64	1	0.37	1.31
15a	3.75	71.32	1	0.20	0.32
17a	4.88	79.04	1	0.06	2.72
19a	4.05	74.18	1	0.34	0.99
21a	3.89	71.90	1	0.39	0.66
23a	4.09	-	1	0.17	-
24a	3.99	-	1	0.94	-
27a	6.26	118.26	1	0.30	1.90
28a	7.09	144.57	1	0.11	1.09
30a	7.11	115.41	1	0.54	0.10
32a	9.68	-	1	0.72	-
33a	6.78	118.60	1	0.09	0.89
34a	7.19	130.99	1	0.06	0.48
35a	7.15	120.98	1	0.19	0.97
37a,37b,37c	1.23	16.92	3	0.10	0.38
41a	7.81	132.95	1	0.39	0.53
42a	7.02	116.01	1	0.26	0.08
44a	7.02	116.01	1	0.26	0.08
45a	7.81	132.95	1	0.39	0.53
46a	8.04	-	1	1.70	-
2	-	165.13	-	-	1.23
4	-	157.27	-	-	1.19
5	-	103.35	-	-	1.65
6	-	165.08	-	-	0.91
9	-	177.13	-	-	4.04
10	-	144.17	-	-	0.76
26	-	168.39	-	-	0.04
29	-	137.91	-	-	2.21
31	-	158.68	-	-	0.76
38	-	157.18	-	-	0.00
40	-	123.97	-	-	4.14
43	-	158.30	-	-	2.95
