Kaempferol-3-O-α-L-rhamnopyranosyl-(1-6)-α-L-rhamnopyranosyl-(1-4)-β-D-glucopyranoside
OC6=C5C(C(O[C@H](O[C@@H]([C@H]([C@@H]3O)O[C@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)CO[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)O)O)O)CO)[C@@H]3O)=C(OC5=CC(O)=C6[H])C4=CC=C(C([H])=C4)O)=O
756.659
Number	1H	13C	1H_nh	1H_error	13C_error
1a	12.42	-	1	0.14	-
7a	5.57	102.04	1	0.37	1.33
10a	4.09	75.55	1	0.26	0.16
12a	4.07	80.09	1	0.39	0.91
14a	3.95	75.50	1	0.39	0.76
16a	3.07	-	1	0.84	-
18a	4.57	105.02	1	0.32	0.91
20a	3.65	75.00	1	0.41	1.09
22a	3.80	77.89	1	0.37	0.63
24a	3.73	71.38	1	0.42	0.73
26a	3.92	77.37	1	0.30	0.34
29a	3.83	68.40	1	0.28	0.58
29b	4.25	68.40	1	0.37	0.58
31a	4.77	103.10	1	0.01	1.63
33a	3.85	73.75	1	0.08	0.99
35a	3.76	72.64	1	0.14	0.57
37a	3.43	73.51	1	0.14	1.13
39a	3.83	68.63	1	0.12	1.95
42a,42b,42c	1.35	16.29	3	0.11	0.86
43a	4.53	-	1	0.28	-
44a	4.45	-	1	0.34	-
45a	5.57	-	1	1.10	-
46a	6.17	-	1	1.54	-
47a	5.15	-	1	0.96	-
48a	2.81	-	1	0.74	-
49b	3.95	60.50	1	0.32	1.38
49a	3.81	60.50	1	0.29	1.38
50a	2.02	-	1	0.68	-
51a	3.88	72.99	1	0.39	0.65
53a	4.09	-	1	0.15	-
57a	6.22	95.55	1	0.23	2.61
59a	9.56	-	1	1.71	-
60a	6.21	99.40	1	0.20	0.09
63a	7.81	132.95	1	0.39	0.53
64a	7.02	116.01	1	0.26	0.08
66a	7.02	116.01	1	0.26	0.08
68a	7.81	132.95	1	0.39	0.53
69a	8.04	-	1	1.70	-
2	-	165.08	-	-	0.91
3	-	103.35	-	-	1.65
4	-	177.13	-	-	4.04
5	-	144.50	-	-	0.99
54	-	157.78	-	-	0.00
56	-	157.27	-	-	1.19
58	-	163.25	-	-	1.14
62	-	123.97	-	-	4.14
65	-	158.30	-	-	2.95
