Kaempferol
OC3=CC=C(C=C3)C2=C(O)C(C1=C(O)C=C(O)C=C1O2)=O
286.236
Number	1H	13C	1H_nh	1H_error	13C_error
1a	8.04	-	1	1.70	-
3a	6.99	115.65	1	0.26	0.33
4a	7.84	132.75	1	0.40	0.67
6a	7.84	132.75	1	0.40	0.67
7a	6.99	115.65	1	0.26	0.33
10a	7.60	-	1	1.68	-
14a	12.42	-	1	0.20	-
15a	6.24	98.43	1	0.20	0.38
17a	9.56	-	1	1.71	-
18a	6.25	95.10	1	0.25	2.75
2	-	158.30	-	-	2.95
5	-	124.40	-	-	4.01
8	-	146.59	-	-	0.00
9	-	146.02	-	-	2.06
11	-	175.28	-	-	4.04
12	-	101.56	-	-	2.03
13	-	164.75	-	-	1.14
16	-	164.20	-	-	0.55
19	-	156.20	-	-	1.10
