Limonianin
O=C(C=C(C4=CC=C(O)C=C4)O3)C1=C3C(C=CC(C)(C)O2)=C2C=C1O
336.338
Number	1H	13C	1H_nh	1H_error	13C_error
3a	6.67	106.27	1	0.00	6.68
6a	7.93	132.09	1	0.40	1.14
7a	7.02	116.00	1	0.26	0.08
9a	8.04	-	1	1.69	-
10a	7.02	116.00	1	0.26	0.08
11a	7.93	132.09	1	0.40	1.14
16a	6.78	115.47	1	0.11	0.02
17a	5.82	128.71	1	0.09	0.13
19a,19b,19c	1.47	28.31	3	0.00	0.00
20a,20b,20c	1.47	28.31	3	0.00	0.00
23a	6.26	100.40	1	0.11	0.05
25a	12.42	-	1	0.75	-
2	-	178.23	-	-	2.09
4	-	164.67	-	-	0.00
5	-	124.11	-	-	4.12
8	-	159.74	-	-	3.05
13	-	102.97	-	-	1.72
14	-	154.59	-	-	0.57
15	-	103.38	-	-	0.66
18	-	80.05	-	-	0.23
22	-	160.28	-	-	0.15
24	-	164.17	-	-	1.55
