Limonin
O=C5[C@@]([C@@]12O[C@@H]1C(O[C@@H]([C@@]7=COC=C7)[C@](CCC3[C@@]46[C@H](CC(OC6)=O)OC([C@@]([H])4C5)(C)C)2C)=O)3C
470.512
Number	1H	13C	1H_nh	1H_error	13C_error
6a	4.03	54.58	1	0.21	0.70
10a	5.53	77.20	1	0.07	0.49
13a	7.41	141.02	1	0.03	0.62
15a	7.40	142.45	1	0.01	0.44
16a	6.35	109.42	1	0.01	0.35
18b	1.82	32.86	1	0.16	0.64
18a	1.59	32.86	1	0.01	0.64
19a	1.68	19.90	1	0.02	1.25
19b	1.72	19.90	1	0.02	1.25
20a	2.44	43.26	1	0.31	5.02
22a	4.30	76.71	1	0.06	2.16
24a	2.89	38.04	1	0.00	1.68
24b	2.96	38.04	1	0.00	1.68
27a	4.48	70.63	1	0.03	4.85
27b	4.54	70.63	1	0.01	4.85
31a	2.78	54.93	1	0.07	6.36
33b	2.98	39.12	1	0.13	1.37
33a	2.72	39.12	1	0.05	1.37
34a,34b,34c	1.29	26.81	3	0.06	3.55
35a,35b,35c	1.17	19.41	3	0.01	0.72
36a,36b,36c	1.12	22.79	3	0.04	0.01
38a,38b,38c	1.22	20.06	3	0.04	1.16
2	-	211.85	-	-	1.33
3	-	54.33	-	-	1.11
4	-	67.80	-	-	0.96
8	-	167.13	-	-	0.07
12	-	120.98	-	-	0.77
17	-	38.47	-	-	0.61
21	-	46.01	-	-	4.45
25	-	169.35	-	-	2.11
30	-	80.90	-	-	0.95
