Limonyl acetate
CC(C)([C@@H]6C7)O[C@H]([C@@](CO5)6[C@H]([C@@]([C@@]21O[C@@H]23)(C)C7OC(C)=O)CC[C@@]1(C)[C@H]([C@@]4=COC=C4)OC3=O)CC5=O
514.564
Number	1H	13C	1H_nh	1H_error	13C_error
1a,1b,1c	1.25	26.71	3	0.05	3.46
3a,3b,3c	1.12	19.01	3	0.01	1.07
4a	1.92	48.81	1	0.44	5.25
6b	1.97	26.84	1	0.09	1.20
6a	1.84	26.84	1	0.10	1.20
8a	3.93	76.88	1	0.05	2.12
11b	4.48	70.94	1	0.01	4.83
11a	4.41	70.94	1	0.01	4.83
13a	1.97	44.48	1	0.45	5.08
18a	3.64	57.26	1	0.10	1.54
20a,20b,20c	1.24	19.05	3	0.04	4.02
21a	4.38	73.26	1	0.17	1.86
24a,24b,24c	2.07	21.13	3	0.03	0.30
26a	1.81	18.40	1	0.13	0.67
26b	1.95	18.40	1	0.15	0.67
27a	1.54	29.47	1	0.15	2.58
27b	1.90	29.47	1	0.16	2.58
29a,29b,29c	1.13	20.27	3	0.11	1.85
30a	5.62	78.80	1	0.11	0.99
33a	7.40	140.88	1	0.03	0.62
35a	7.40	142.45	1	0.00	0.44
36a	6.37	109.59	1	0.07	0.35
40b	2.90	38.16	1	0.13	1.66
40a	2.55	38.16	1	0.12	1.66
2	-	81.52	-	-	0.36
10	-	45.67	-	-	4.45
15	-	42.62	-	-	1.15
16	-	70.26	-	-	0.75
23	-	169.98	-	-	0.72
28	-	39.64	-	-	0.77
32	-	121.33	-	-	0.76
38	-	167.24	-	-	1.46
41	-	169.61	-	-	2.11
