Luteolin; 2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4H-chromen-4-one
OC1=CC(O)=C(C(C=C(C3=CC(O)=C(O)C=C3)O2)=O)C2=C1
286.236
Number	1H	13C	1H_nh	1H_error	13C_error
1a	9.56	-	1	1.71	-
3a	6.21	99.27	1	0.20	0.56
5a	12.42	-	1	0.01	-
8a	6.71	102.27	1	0.00	6.50
11a	7.48	114.89	1	0.29	3.14
13a	8.71	-	1	2.13	-
15a	8.76	-	1	0.88	-
16a	6.98	116.32	1	0.18	0.63
17a	7.44	123.26	1	0.39	7.37
21a	6.22	95.24	1	0.23	2.71
2	-	164.34	-	-	1.40
4	-	164.52	-	-	1.30
6	-	101.96	-	-	2.53
7	-	178.79	-	-	2.49
9	-	165.86	-	-	0.00
10	-	123.05	-	-	4.43
12	-	146.54	-	-	2.27
14	-	149.63	-	-	1.56
20	-	158.17	-	-	1.29
