Orientin
Oc1cc(O)c(C(C=C(c3ccc(O)c(O)c3)O2)=O)c2[c@@]1[C@@H]4O[C@@H]([C@@H](O)[C@H](O)[C@H]4O)CO
448.377
Number	1H	13C	1H_nh	1H_error	13C_error
1a	9.75	-	1	0.99	-
7a	6.24	97.90	1	0.23	0.29
8a	12.42	-	1	0.69	-
11a	6.74	102.41	1	0.00	6.50
15a	7.38	114.73	1	0.27	3.13
17a	8.71	-	1	2.13	-
19a	6.98	116.13	1	0.18	0.59
20a	7.38	123.17	1	0.39	7.44
21a	8.76	-	1	0.88	-
22a	5.00	73.30	1	0.15	0.14
25a	3.60	81.70	1	0.18	0.56
27b	3.76	62.94	1	0.01	1.06
27a	3.67	62.94	1	0.01	1.06
28a	4.48	-	1	0.10	-
29a	3.57	70.42	1	0.20	1.76
31a	3.57	78.40	1	0.15	0.28
33a	4.02	70.60	1	0.21	0.25
35a	4.62	-	1	0.11	-
36a	4.83	-	1	0.43	-
37a	4.80	-	1	0.08	-
2	-	162.20	-	-	0.47
3	-	105.46	-	-	0.59
4	-	159.87	-	-	3.42
5	-	101.49	-	-	2.05
6	-	163.61	-	-	1.94
9	-	179.24	-	-	2.81
12	-	166.40	-	-	0.00
14	-	123.79	-	-	4.20
16	-	146.13	-	-	2.27
18	-	149.63	-	-	1.56
