Phytol
C[C@@H](CCC[C@@H](C)CCC/C(=C/CO)/C)CCCC(C)C
296.531
Number	1H	13C	1H_nh	1H_error	13C_error
1a,1b,1c	0.84	19.70	3	0.03	0.16
2a	1.39	32.82	1	0.00	0.17
4b	1.11	37.43	1	0.06	0.20
4a	1.02	37.43	1	0.06	0.20
5a,5b	1.28	24.73	2	0.04	0.43
6a	1.03	37.68	1	0.08	0.42
6b	1.13	37.68	1	0.08	0.42
7a	1.39	33.00	1	0.00	0.45
9a,9b,9c	0.76	19.90	3	0.05	0.20
10a	1.32	37.17	1	0.00	1.01
10b	1.40	37.17	1	0.00	1.01
11a,11b	1.41	25.47	2	0.00	0.54
12a,12b	1.98	40.06	2	0.02	0.47
14a	5.33	124.15	1	0.07	2.15
15a,15b	4.15	59.30	2	0.01	0.30
16a	2.84	-	1	0.13	-
17a,17b,17c	1.67	16.18	3	0.00	0.11
18a	1.03	37.22	1	0.08	0.20
18b	1.13	37.22	1	0.08	0.20
19a,19b	1.27	24.81	2	0.14	0.01
20a,20b	1.14	39.44	2	0.00	0.22
21a	1.51	28.03	1	0.01	0.00
22a,22b,22c	0.81	22.67	3	0.00	0.06
23a,23b,23c	0.79	22.67	3	0.00	0.06
13	-	139.13	-	-	2.23
