Pterogynoside; Kaempferol-3-O-(3&apos;&apos;-O-4&apos;&apos;&apos;-methylgallate-α-L-rhamnoside)
OC2=C1C(C(O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](OC(C4=CC(O)=C(OC)C(O)=C4)=O)[C@H]3O)=C(C5=CC=C(O)C=C5)OC1=CC(O)=C2)=O
598.508
Number	1H	13C	1H_nh	1H_error	13C_error
1a	12.42	-	1	0.14	-
7a	5.62	98.86	1	0.37	1.30
10a	3.88	72.30	1	0.29	0.42
12a,12b,12c	1.32	17.70	3	0.04	0.05
13a	3.65	70.60	1	0.08	0.63
15a	2.43	-	1	0.99	-
16a	5.13	75.50	1	0.11	0.21
21a,29a	7.06	110.50	2	0.00	0.85
23a,28a	6.01	-	2	0.64	-
26a,26b,26c	3.77	60.70	3	0.00	0.03
31a	4.10	69.37	1	0.14	1.42
33a	4.43	-	1	0.37	-
36a	7.81	132.95	1	0.39	0.53
37a	7.02	116.01	1	0.26	0.08
39a	8.04	-	1	1.70	-
40a	7.02	116.01	1	0.26	0.08
41a	7.81	132.95	1	0.39	0.53
44a	6.22	95.55	1	0.23	2.61
46a	9.56	-	1	1.71	-
47a	6.21	99.90	1	0.20	0.14
2	-	165.08	-	-	0.91
3	-	103.35	-	-	1.65
4	-	176.89	-	-	4.04
5	-	144.50	-	-	0.99
19	-	167.70	-	-	0.18
20	-	122.10	-	-	1.08
22	-	151.50	-	-	0.25
24	-	141.20	-	-	0.73
27	-	151.50	-	-	0.25
29	-	110.50	-	-	0.85
34	-	157.18	-	-	0.00
35	-	123.97	-	-	4.14
38	-	158.30	-	-	2.95
43	-	157.27	-	-	1.19
45	-	165.90	-	-	0.68
