Quercetin-3&apos;-O-methyl-3-O-β-D-rhamnopyranoside
O=C2C1=C(O)C=C(O)C=C1OC(C3=CC=C(O)C(OC)=C3)=C2O[C@@H]([C@H]4O)O[C@H](C)[C@@H](O)[C@@H]4O
462.404
Number	1H	13C	1H_nh	1H_error	13C_error
5a	12.42	-	1	0.14	-
6a	6.21	98.97	1	0.20	0.51
8a	9.56	-	1	1.71	-
9a	6.22	95.31	1	0.23	2.68
14a	7.63	125.68	1	0.39	5.67
15a	6.97	115.46	1	0.18	0.56
17a	7.41	-	1	1.75	-
20a,20b,20c	3.85	55.87	3	0.09	0.33
21a	7.62	112.69	1	0.32	3.02
24a	5.49	99.99	1	0.37	1.31
26a	3.82	72.44	1	0.39	0.65
28a	4.09	-	1	0.05	-
30a	3.82	71.82	1	0.21	0.12
32a,32b,32c	1.25	17.54	3	0.04	0.44
33a	3.39	71.21	1	0.05	1.49
35a	4.73	-	1	0.40	-
36a	3.66	72.62	1	0.12	0.25
38a	4.52	-	1	0.51	-
2	-	177.09	-	-	4.04
3	-	103.35	-	-	1.65
4	-	165.08	-	-	0.91
7	-	164.86	-	-	1.06
10	-	157.70	-	-	1.24
12	-	157.18	-	-	0.00
13	-	123.36	-	-	4.34
16	-	148.06	-	-	1.26
18	-	146.47	-	-	0.93
22	-	143.77	-	-	0.47
