Quercetin-3-O-allopyranoside
OC4=CC(O)=C3C(C(O[C@H](O[C@@H]([C@H]([C@H]1O)O)CO)[C@@H]1O)=C(OC3=C4)C2=CC(O)=C(C=C2)O)=O
464.376
Number	1H	13C	1H_nh	1H_error	13C_error
1a	9.56	-	1	1.71	-
3a	6.21	99.32	1	0.20	0.67
5a	12.42	-	1	0.14	-
10a	5.57	101.86	1	0.37	1.33
13a	4.04	79.23	1	0.32	0.66
15a	4.01	70.66	1	0.44	0.39
17a	3.96	78.68	1	0.38	0.65
19a	4.89	-	1	0.82	-
20a	5.09	-	1	0.74	-
21b	3.87	62.38	1	0.30	0.15
21a	3.76	62.38	1	0.34	0.15
22a	4.44	-	1	0.94	-
23a	3.82	73.49	1	0.39	0.65
25a	4.09	-	1	0.17	-
29a	6.22	95.31	1	0.23	2.68
31a	7.57	115.75	1	0.30	3.20
33a	8.71	-	1	2.12	-
35a	6.98	116.38	1	0.18	0.65
36a	7.63	123.94	1	0.39	6.90
37a	8.76	-	1	0.88	-
2	-	164.95	-	-	1.17
4	-	165.08	-	-	0.91
6	-	103.35	-	-	1.65
7	-	177.36	-	-	4.04
8	-	144.73	-	-	1.15
26	-	158.88	-	-	0.00
28	-	157.70	-	-	1.24
30	-	123.78	-	-	4.20
32	-	146.17	-	-	2.27
34	-	149.25	-	-	1.58
