Quercetin-3-O-α-L-arabinopyranoside; guiajaverin
OC4=CC(O)=C3C(C(O[C@H](OC[C@H]([C@H]1O)O)[C@H]1O)=C(OC3=C4)C2=CC(O)=C(C=C2)O)=O
434.35
Number	1H	13C	1H_nh	1H_error	13C_error
1a	9.56	-	1	1.71	-
3a	6.21	100.46	1	0.20	0.50
5a	12.42	-	1	0.14	-
10a	5.46	102.54	1	0.37	1.34
13a	3.90	66.73	1	0.37	1.77
13b	4.19	66.73	1	0.23	1.77
14a	4.16	70.01	1	0.29	1.10
16a	4.25	75.43	1	0.28	1.71
18a	5.81	-	1	0.92	-
19a	5.80	-	1	1.00	-
20a	3.78	72.29	1	0.39	0.65
22a	4.09	-	1	0.01	-
26a	6.22	95.31	1	0.23	2.68
28a	7.57	115.75	1	0.30	3.20
30a	8.71	-	1	2.12	-
32a	6.98	116.38	1	0.18	0.65
33a	7.63	123.94	1	0.39	6.90
34a	8.76	-	1	0.88	-
2	-	166.61	-	-	0.77
4	-	165.08	-	-	0.91
6	-	103.35	-	-	1.65
7	-	177.33	-	-	4.04
8	-	144.59	-	-	1.05
23	-	158.41	-	-	0.00
25	-	157.70	-	-	1.24
27	-	123.79	-	-	4.20
29	-	146.17	-	-	2.27
31	-	149.25	-	-	1.58
