Quercetin-3-O-α-L-rhamnopyranoside
OC4=CC(O)=C3C(C(OC1[C@H](O)[C@@H](O)[C@@H](O)[C@H](C)O1)=C(OC3=C4)C2=CC=C(C(O)=C2)O)=O
448.377
Number	1H	13C	1H_nh	1H_error	13C_error
1a	9.56	-	1	1.71	-
3a	6.21	99.13	1	0.20	0.42
5a	12.42	-	1	0.14	-
10a	5.49	99.99	1	0.37	1.31
11a	3.82	72.44	1	0.39	0.65
13a	4.09	-	1	0.05	-
14a	3.66	72.62	1	0.12	0.25
16a	4.52	-	1	0.51	-
17a	3.39	71.21	1	0.05	1.49
19a	4.73	-	1	0.40	-
20a	3.82	71.82	1	0.21	0.12
22a,22b,22c	1.25	17.54	3	0.04	0.44
27a	6.22	95.31	1	0.23	2.68
29a	7.63	123.94	1	0.39	6.90
30a	6.98	116.38	1	0.18	0.65
33a	8.71	-	1	2.12	-
34a	7.57	115.75	1	0.30	3.20
35a	8.76	-	1	0.88	-
2	-	164.38	-	-	0.41
4	-	165.08	-	-	0.91
6	-	103.35	-	-	1.65
7	-	177.36	-	-	4.04
8	-	144.40	-	-	0.92
24	-	158.28	-	-	0.00
26	-	157.70	-	-	1.24
28	-	123.78	-	-	4.20
31	-	149.25	-	-	1.58
32	-	146.17	-	-	2.27
