Quercetin-3-O-α-L-rhamnopyranosyl-(1→6)-β-D-galactopyranoside
OC5=C4C(C(O[C@H](O[C@@H]([C@@H]([C@@H]2O)O)CO[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)[C@@H]2O)=C(OC4=CC(O)=C5[H])C3=CC=C(C(O)=C3)O)=O
610.518
Number	1H	13C	1H_nh	1H_error	13C_error
1a	12.42	-	1	0.14	-
7a	5.60	101.97	1	0.37	1.33
10a	4.20	77.57	1	0.28	1.23
12a	4.02	69.94	1	0.38	1.07
14a	3.87	78.62	1	0.38	0.65
16a	4.89	-	1	0.83	-
17a	5.53	-	1	1.23	-
18a	3.90	67.55	1	0.25	1.21
18b	4.26	67.55	1	0.28	1.21
20a	4.51	103.10	1	0.18	1.63
22a	3.62	73.75	1	0.02	0.99
24a	3.53	72.64	1	0.00	0.57
26a	3.27	73.51	1	0.00	1.13
28a	3.44	68.63	1	0.00	1.95
31a,31b,31c	1.05	16.29	3	0.08	0.86
32a	4.53	-	1	0.28	-
33a	4.45	-	1	0.34	-
34a	5.57	-	1	1.10	-
35a	3.80	73.31	1	0.39	0.65
37a	4.09	-	1	0.11	-
41a	6.22	95.31	1	0.23	2.68
43a	9.56	-	1	1.71	-
44a	6.21	98.92	1	0.20	0.61
47a	7.63	123.94	1	0.39	6.90
48a	6.98	116.38	1	0.18	0.65
51a	8.71	-	1	2.12	-
52a	7.57	115.75	1	0.30	3.20
53a	8.76	-	1	0.88	-
2	-	165.08	-	-	0.91
3	-	103.35	-	-	1.65
4	-	177.36	-	-	4.04
5	-	144.73	-	-	1.15
38	-	158.88	-	-	0.00
40	-	157.70	-	-	1.24
42	-	164.29	-	-	0.86
46	-	123.78	-	-	4.20
49	-	149.25	-	-	1.58
50	-	146.17	-	-	2.27
