Quercetin-3-O-β-D-galactoside, Hyperin
O=C2C1=C(C=C(C=C1OC(C3=CC(O)=C(C=C3)O)=C2O[C@H](O[C@@H]([C@@H]([C@@H]4O)O)CO)[C@@H]4O)O)O
464.376
Number	1H	13C	1H_nh	1H_error	13C_error
5a	6.21	99.32	1	0.20	0.67
7a	6.22	95.31	1	0.23	2.68
12a	7.57	115.75	1	0.30	3.20
14a	8.71	-	1	2.12	-
16a	6.98	116.38	1	0.18	0.65
17a	7.63	123.94	1	0.39	6.90
18a	8.76	-	1	0.88	-
21a	5.57	101.86	1	0.37	1.33
24a	4.04	79.23	1	0.32	0.66
26a	4.01	70.66	1	0.44	0.39
28a	3.96	78.68	1	0.38	0.65
30a	4.89	-	1	0.82	-
31a	5.09	-	1	0.74	-
32b	3.87	62.38	1	0.30	0.15
32a	3.76	62.38	1	0.34	0.15
33a	4.44	-	1	0.94	-
34a	3.82	73.49	1	0.39	0.65
36a	4.09	-	1	0.17	-
37a	9.56	-	1	1.71	-
38a	12.42	-	1	0.14	-
2	-	177.36	-	-	4.04
3	-	103.35	-	-	1.65
4	-	165.08	-	-	0.91
6	-	164.95	-	-	1.17
8	-	157.70	-	-	1.24
10	-	158.88	-	-	0.00
11	-	123.78	-	-	4.20
13	-	146.17	-	-	2.27
15	-	149.25	-	-	1.58
19	-	144.73	-	-	1.15
