Quercetin-3-O-β-D-xylopyranoside; Reynoutrin
O=C2C1=C(C=C(C=C1OC(C3=CC(O)=C(C=C3)O)=C2O[C@H](OC[C@H]([C@@H]4O)O)[C@@H]4O)O)O
434.35
Number	1H	13C	1H_nh	1H_error	13C_error
5a	6.21	100.46	1	0.20	0.50
7a	6.22	95.31	1	0.23	2.68
12a	7.57	115.75	1	0.30	3.20
14a	8.71	-	1	2.12	-
16a	6.98	116.38	1	0.18	0.65
17a	7.63	123.94	1	0.39	6.90
18a	8.76	-	1	0.88	-
21a	5.46	102.54	1	0.37	1.34
24b	4.19	66.73	1	0.23	1.77
24a	3.90	66.73	1	0.37	1.77
25a	4.16	70.01	1	0.29	1.10
27a	4.25	75.43	1	0.28	1.71
29a	5.81	-	1	0.92	-
30a	5.80	-	1	1.00	-
31a	3.78	72.29	1	0.39	0.65
33a	4.09	-	1	0.01	-
34a	9.56	-	1	1.71	-
35a	12.42	-	1	0.14	-
2	-	177.33	-	-	4.04
3	-	103.35	-	-	1.65
4	-	165.08	-	-	0.91
6	-	166.61	-	-	0.77
8	-	157.70	-	-	1.24
10	-	158.41	-	-	0.00
11	-	123.79	-	-	4.20
13	-	146.17	-	-	2.27
15	-	149.25	-	-	1.58
19	-	144.59	-	-	1.05
