Quercetin
O=C2C1=C(O)C=C(O)C=C1OC(C3=CC=C(O)C(O)=C3)=C2O
302.236
Number	1H	13C	1H_nh	1H_error	13C_error
5a	12.42	-	1	0.20	-
6a	6.24	99.03	1	0.20	0.72
8a	9.56	-	1	1.71	-
9a	6.25	94.94	1	0.25	2.80
14a	7.61	123.74	1	0.39	7.04
15a	6.95	116.30	1	0.18	0.63
17a	8.76	-	1	0.88	-
19a	8.71	-	1	2.12	-
20a	7.62	114.73	1	0.31	3.13
22a	7.60	-	1	1.68	-
2	-	175.51	-	-	4.04
3	-	101.56	-	-	2.03
4	-	164.75	-	-	1.14
7	-	165.09	-	-	1.31
10	-	156.86	-	-	1.15
12	-	147.69	-	-	0.00
13	-	124.20	-	-	4.07
16	-	149.19	-	-	1.58
18	-	146.01	-	-	2.27
21	-	146.25	-	-	2.23
