Quercetin 3-O-sophoroside
OC5=CC(O)=C4C(C(O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)=C(OC4=C5)C3=CC(O)=C(C=C3)O)=O
626.517
Number	1H	13C	1H_nh	1H_error	13C_error
1a	9.56	-	1	1.71	-
3a	6.21	98.50	1	0.20	0.22
5a	12.42	-	1	0.14	-
10a	5.94	100.45	1	0.37	1.31
12a	4.20	80.08	1	0.37	2.05
14a	4.08	75.88	1	0.35	1.34
16a	3.81	69.35	1	0.40	0.91
18a	4.00	79.14	1	0.31	0.67
21a	3.75	62.38	1	0.34	0.15
21b	3.87	62.38	1	0.30	0.15
22a	4.44	-	1	0.94	-
23a	5.09	-	1	0.34	-
24a	3.54	-	1	1.17	-
26a	5.38	103.90	1	0.29	0.22
29a	3.74	78.01	1	0.41	0.25
31a	4.32	71.50	1	0.37	0.22
33a	4.49	77.69	1	0.21	0.90
35a	3.81	74.23	1	0.40	0.09
37a	4.88	-	1	0.73	-
38a	6.15	-	1	1.50	-
39a	7.36	-	1	2.10	-
40b	3.83	62.20	1	0.02	0.07
40a	3.70	62.20	1	0.07	0.07
41a	4.33	-	1	0.05	-
45a	6.22	95.31	1	0.23	2.68
47a	7.57	115.75	1	0.30	3.20
49a	8.71	-	1	2.12	-
51a	6.98	116.38	1	0.18	0.65
52a	7.63	123.94	1	0.39	6.90
53a	8.76	-	1	0.88	-
2	-	163.90	-	-	0.20
4	-	165.08	-	-	0.91
6	-	103.35	-	-	1.65
7	-	177.19	-	-	4.04
8	-	145.05	-	-	1.38
42	-	159.35	-	-	0.00
44	-	157.70	-	-	1.24
46	-	123.78	-	-	4.20
48	-	146.17	-	-	2.27
50	-	149.25	-	-	1.58
