Quercetin 3-O-α-L-rhamnopyranosyl (1→6)-O-[β -D-glucopyranosyl (1→3)-O-α-L-rhamnopyranosyl-(1→2)]-O-β -D-glucopyranosyl
OC2=CC(O)=C1C(C(O[C@@H]([C@@H]3O[C@H]4[C@H](O)[C@H](O[C@@H]([C@@H]6O)O[C@H](CO[C@H]5[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O5)[C@@H](O)[C@@H]6O)[C@@H](O)[C@H](C)O4)O[C@H](CO)[C@@H](O)[C@@H]3O)=C(C7=CC=C(O)C(O)=C7)OC1=C2)=O
918.799
Number	1H	13C	1H_nh	1H_error	13C_error
1a	9.56	-	1	1.71	-
3a	6.21	99.66	1	0.20	0.00
5a	12.42	-	1	0.14	-
10a	5.88	100.43	1	0.37	1.31
12a	4.18	79.06	1	0.37	2.04
15a	5.17	102.25	1	0.18	0.22
17a	4.35	71.93	1	0.63	0.46
19a	2.83	-	1	0.94	-
20a	4.26	81.22	1	0.44	0.84
23a	4.48	105.89	1	0.53	0.90
25a	3.66	74.78	1	0.41	1.08
27a	2.81	-	1	1.11	-
29a	3.95	77.37	1	0.32	0.34
31b	4.25	68.40	1	0.37	0.58
31a	3.83	68.40	1	0.28	0.58
33a	4.77	103.10	1	0.01	1.63
35a	3.85	73.75	1	0.08	0.99
37a	5.57	-	1	1.10	-
38a	3.76	72.64	1	0.14	0.57
40a	4.45	-	1	0.34	-
41a	3.43	73.51	1	0.14	1.13
43a	4.53	-	1	0.28	-
44a	3.83	68.63	1	0.12	1.95
46a,46b,46c	1.35	16.29	3	0.11	0.86
48a	3.73	71.38	1	0.42	0.73
50a	6.17	-	1	1.54	-
51a	3.83	77.72	1	0.37	0.68
53a	5.15	-	1	0.96	-
54a	3.84	74.11	1	0.47	0.21
56a	2.89	-	1	1.65	-
57a	4.09	72.01	1	0.11	0.68
59a,59b,59c	0.92	15.81	3	0.16	0.60
62a	4.00	79.14	1	0.31	0.67
64b	3.87	62.38	1	0.30	0.15
64a	3.75	62.38	1	0.34	0.15
65a	4.44	-	1	0.94	-
66a	3.81	70.60	1	0.40	1.62
68a	5.09	-	1	0.34	-
69a	4.03	76.91	1	0.35	2.25
71a	3.54	-	1	1.17	-
74a	7.63	123.94	1	0.39	6.90
75a	6.98	116.38	1	0.18	0.65
77a	8.76	-	1	0.88	-
79a	8.71	-	1	2.12	-
80a	7.57	115.75	1	0.30	3.20
83a	6.22	95.31	1	0.23	2.68
2	-	165.60	-	-	0.50
4	-	165.08	-	-	0.91
6	-	103.35	-	-	1.65
7	-	177.19	-	-	4.04
8	-	145.05	-	-	1.38
72	-	159.35	-	-	0.00
73	-	123.78	-	-	4.20
76	-	149.25	-	-	1.58
78	-	146.17	-	-	2.27
82	-	157.70	-	-	1.24
