Rutin, quercetin-3-O-rutinoside
OC1=CC(O)=C(C(C(O[C@@H]4O[C@H](CO[C@H]5[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O5)[C@@H](O)[C@H](O)[C@H]4O)=C(C3=CC(O)=C(O)C=C3)O2)=O)C2=C1
610.518
Number	1H	13C	1H_nh	1H_error	13C_error
1a	9.56	-	1	1.71	-
3a	6.21	98.92	1	0.20	0.61
5a	12.42	-	1	0.14	-
10a	5.60	101.97	1	0.37	1.33
13a	4.20	77.57	1	0.28	1.23
15b	4.26	67.55	1	0.28	1.21
15a	3.90	67.55	1	0.25	1.21
17a	4.51	103.10	1	0.18	1.63
19a	3.62	73.75	1	0.02	0.99
21a	5.57	-	1	1.10	-
22a	3.53	72.64	1	0.00	0.57
24a	4.45	-	1	0.34	-
25a	3.27	73.51	1	0.00	1.13
27a	4.53	-	1	0.28	-
28a	3.44	68.63	1	0.00	1.95
30a,30b,30c	1.05	16.29	3	0.08	0.86
32a	4.02	69.94	1	0.38	1.07
34a	5.53	-	1	1.23	-
35a	3.87	78.62	1	0.38	0.65
37a	4.89	-	1	0.83	-
38a	3.80	73.31	1	0.39	0.65
40a	4.09	-	1	0.11	-
43a	7.57	115.75	1	0.30	3.20
45a	8.71	-	1	2.12	-
47a	8.76	-	1	0.88	-
48a	6.98	116.38	1	0.18	0.65
49a	7.63	123.94	1	0.39	6.90
53a	6.22	95.31	1	0.23	2.68
2	-	164.29	-	-	0.86
4	-	165.08	-	-	0.91
6	-	103.35	-	-	1.65
7	-	177.36	-	-	4.04
8	-	144.73	-	-	1.15
41	-	158.88	-	-	0.00
42	-	123.78	-	-	4.20
44	-	146.17	-	-	2.27
46	-	149.25	-	-	1.58
52	-	157.70	-	-	1.24
