Vitexin 2&apos;&apos;-O-β-glucopyranoside
OC1=CC=C(C3CC(C2=C(C=C([C@]([C@H](O[C@@H]([C@H]([C@@H]5O)O)CO[C@H](O[C@@H]([C@H]([C@@H]4O)O)CO)[C@@H]4O)[C@@H]5O)=C2O3)O)O)=O)C=C1
596.534
Number	1H	13C	1H_nh	1H_error	13C_error
1a	6.31	-	1	1.84	-
3a	6.83	115.89	1	0.08	0.53
4a	7.33	128.44	1	0.11	0.70
6a	5.39	79.87	1	0.17	1.02
7b	3.11	43.41	1	0.15	0.69
7a	2.83	43.41	1	0.15	0.69
11a	5.94	97.00	1	0.07	0.89
14a	5.04	73.84	1	0.15	0.85
17a	3.98	81.04	1	0.26	0.14
19a	3.62	71.45	1	0.29	1.80
21a	3.55	78.08	1	0.29	0.98
23a	4.84	-	1	0.08	-
24a	4.86	-	1	0.31	-
25a	3.39	70.31	1	0.25	1.05
25b	3.89	70.31	1	0.11	1.05
27a	4.83	105.13	1	0.37	1.44
30a	4.07	77.24	1	0.33	1.02
32a	3.77	71.12	1	0.46	0.65
34a	3.99	76.43	1	0.44	2.37
36a	4.86	-	1	0.57	-
37a	5.25	-	1	0.91	-
38a	3.82	63.09	1	0.36	0.58
38b	3.99	63.09	1	0.35	0.58
39a	4.53	-	1	0.14	-
40a	3.65	75.08	1	0.40	0.75
42a	5.02	-	1	0.72	-
43a	4.27	71.13	1	0.21	1.11
45a	4.63	-	1	0.25	-
48a	9.65	-	1	0.94	-
49a	12.19	-	1	0.21	-
51a	7.33	128.44	1	0.11	0.70
52a	6.83	115.89	1	0.08	0.53
2	-	158.27	-	-	1.07
5	-	131.06	-	-	1.03
8	-	197.43	-	-	0.75
9	-	102.50	-	-	0.81
10	-	162.83	-	-	1.27
12	-	164.63	-	-	1.12
13	-	103.65	-	-	5.86
46	-	163.16	-	-	3.20
