hexadecanoic acid
C(CCCCCCCCCC)CCCCC(=O)O
256.424
Number	1H	13C	1H_nh	1H_error	13C_error
1a,1b	1.31	29.66	2	0.05	0.04
2a,2b	1.27	29.86	2	0.00	0.14
3a,3b	1.27	29.70	2	0.00	0.11
4a,4b	1.27	29.35	2	0.00	0.02
5a,5b	1.27	29.57	2	0.00	0.11
6a,6b	1.27	29.77	2	0.00	0.10
7a,7b	1.27	29.77	2	0.00	0.18
8a,8b	1.31	29.34	2	0.05	0.00
9a,9b	1.28	32.03	2	0.06	0.00
10a,10b	1.28	22.77	2	0.05	1.23
11a,11b,11c	0.88	14.13	3	0.07	1.03
12a,12b	1.46	29.52	2	0.01	0.00
13a,13b	1.37	29.17	2	0.01	0.00
14a,14b	1.64	24.76	2	0.00	0.00
15a,15b	2.35	34.22	2	0.03	0.00
18a	10.57	-	1	1.34	-
16	-	179.09	-	-	4.69
