limonexic acid
C[C@]34[C@]12[C@@H](C(O[C@@H]([C@@]7=CC(O)OC7=O)[C@](CC[C@@H]3[C@]56[C@H](C(C)(C)O[C@H]5CC(OC6)=O)CC4=O)2C)=O)O1
502.51
Number	1H	13C	1H_nh	1H_error	13C_error
1a,1b,1c	1.28	20.01	3	0.05	1.14
4a	3.98	54.66	1	0.26	0.89
8a	5.41	74.66	1	0.04	0.93
11a	7.11	152.00	1	0.14	1.40
12a	6.19	97.92	1	0.04	0.89
13a	3.79	-	1	0.25	-
18a	1.68	29.61	1	0.41	1.16
18b	2.22	29.61	1	0.13	1.16
19b	2.14	20.17	1	0.31	1.25
19a	1.92	20.17	1	0.31	1.25
20a	2.37	42.85	1	0.35	5.02
23a	2.78	54.93	1	0.07	6.36
26a,26b,26c	1.29	26.81	3	0.06	3.55
27a,27b,27c	1.17	19.41	3	0.01	0.72
29a	4.29	76.71	1	0.06	2.16
31a	2.89	38.04	1	0.00	1.68
31b	2.96	38.04	1	0.00	1.68
34b	4.63	70.63	1	0.05	4.85
34a	4.57	70.63	1	0.09	4.85
36a	2.78	39.25	1	0.09	1.38
36b	3.04	39.25	1	0.09	1.38
39a,39b,39c	1.16	21.38	3	0.05	0.33
2	-	50.66	-	-	1.53
3	-	66.96	-	-	0.96
6	-	167.64	-	-	2.18
10	-	133.57	-	-	0.34
15	-	169.12	-	-	1.26
17	-	38.82	-	-	0.90
22	-	46.39	-	-	4.45
25	-	80.90	-	-	0.95
32	-	169.35	-	-	2.11
37	-	211.57	-	-	1.23
