n-pentadecane
CCCCCCCCCCCCCCC
212.415
Number	1H	13C	1H_nh	1H_error	13C_error
1a,1b,1c	0.87	14.27	3	0.04	0.17
2a,2b	1.28	22.99	2	0.05	0.33
3a,3b	1.28	32.24	2	0.06	0.34
4a,4b	1.32	29.70	2	0.05	0.37
5a,5b	1.27	30.00	2	0.00	0.38
6a,6b	1.27	30.06	2	0.00	0.39
7a,7b	1.27	29.70	2	0.00	0.70
8a,8b	1.27	29.56	2	0.00	1.00
9a,9b	1.27	29.70	2	0.00	0.70
10a,10b	1.27	30.06	2	0.00	0.39
11a,11b	1.27	30.00	2	0.00	0.38
12a,12b	1.32	29.70	2	0.05	0.37
13a,13b	1.28	32.24	2	0.06	0.34
14a,14b	1.28	22.99	2	0.05	0.33
15a,15b,15c	0.87	14.27	3	0.04	0.17
