oleic acid
OC(CCCCCCC/C=CCCCCCCCC)=O
282.461
Number	1H	13C	1H_nh	1H_error	13C_error
1a	11.00	-	1	0.66	-
3a,3b	2.32	34.25	2	0.00	0.16
4a,4b	1.61	24.76	2	0.01	0.21
5a,5b	1.28	29.15	2	0.04	0.16
6a,6b	1.22	29.20	2	0.01	0.08
7a,7b	1.31	29.15	2	0.12	0.16
8a,8b	1.33	29.76	2	0.04	0.14
9a,9b	1.98	27.28	2	0.00	0.16
10a	5.37	129.71	1	0.03	0.14
11a	5.37	130.01	1	0.04	0.15
12a,12b	1.99	27.30	2	0.02	0.11
13a,13b	1.34	29.81	2	0.04	0.07
14a,14b	1.29	29.42	2	0.13	0.13
15a,15b	1.32	29.65	2	0.06	0.16
16a,16b	1.26	29.43	2	0.05	0.11
17a,17b	1.25	31.96	2	0.00	0.43
18a,18b	1.28	22.77	2	0.01	0.43
19a,19b,19c	0.89	14.22	3	0.04	1.82
2	-	180.18	-	-	0.45
