phenyl tridecanoic acid methyl ester
O=C(OC)CCCCCCCCCCCCC1=CC=CC=C1
304.467
Number	1H	13C	1H_nh	1H_error	13C_error
4a,4b,4c	3.64	51.43	3	0.02	0.30
5a,5b	2.30	34.09	2	0.02	0.19
6a,6b	1.60	24.99	2	0.02	0.26
7a,7b	1.30	29.11	2	0.04	0.06
8a,8b	1.41	29.24	2	0.05	0.05
9a,9b	1.30	29.42	2	0.05	0.09
10a,10b	1.27	29.55	2	0.00	0.12
11a,11b	1.26	29.57	2	0.01	0.08
12a,12b	1.29	29.55	2	0.05	0.08
13a,13b	1.30	29.50	2	0.10	0.01
14a,14b	1.28	30.30	2	0.06	0.50
15a,15b	1.59	31.77	2	0.01	0.61
16a,16b	2.60	35.90	2	0.00	0.06
18a	7.16	128.20	1	0.01	0.08
19a	7.25	128.40	1	0.00	0.00
20a	7.15	125.54	1	0.01	0.86
21a	7.25	128.40	1	0.00	0.00
22a	7.16	128.20	1	0.01	0.08
2	-	174.11	-	-	0.68
17	-	142.90	-	-	0.09
