schaftoside
Oc1[c@]([C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)CO)c(O)c(C(C=C(c4ccc(O)cc4)O3)=O)c3[c@@]1[C@H]5[C@@H]([C@H]([C@@H](O)CO5)O)O
564.492
Number	1H	13C	1H_nh	1H_error	13C_error
1a	6.80	-	1	2.16	-
8a	4.86	73.34	1	0.16	0.52
11a	3.58	81.82	1	0.43	0.64
13b	3.69	63.23	1	0.01	1.07
13a	3.47	63.23	1	0.10	1.07
14a	4.48	-	1	0.10	-
15a	3.34	70.61	1	0.51	1.77
17a	3.54	78.70	1	0.31	1.28
19a	3.99	70.45	1	0.12	0.73
21a	4.63	-	1	0.16	-
22a	4.84	-	1	0.14	-
23a	4.81	-	1	0.08	-
24a	12.90	-	1	1.23	-
27a	6.73	102.56	1	0.00	6.51
31a	7.76	132.18	1	0.39	1.07
32a	7.02	116.00	1	0.26	0.08
34a	7.02	116.00	1	0.26	0.08
35a	7.76	132.18	1	0.39	1.07
36a	8.04	-	1	1.69	-
37a	5.11	73.70	1	0.32	1.66
39a	4.17	69.42	1	0.14	1.41
41a	4.63	-	1	0.15	-
42a	3.57	73.64	1	0.19	2.09
44a	4.03	-	1	1.13	-
45a	3.74	69.64	1	0.10	1.81
47b	3.77	69.65	1	0.21	1.78
47a	3.77	69.65	1	0.21	1.78
49a	4.93	-	1	0.21	-
2	-	161.20	-	-	0.52
3	-	104.13	-	-	0.17
4	-	158.10	-	-	3.37
5	-	101.53	-	-	2.04
6	-	160.15	-	-	0.70
7	-	108.27	-	-	0.24
25	-	180.10	-	-	3.42
28	-	165.84	-	-	0.00
30	-	124.22	-	-	4.09
33	-	159.74	-	-	3.05
