sucrose
O[C@H]1[C@@H]([C@H](O[C@@H]([C@@H]1O)O[C@@]2(O[C@@H]([C@H]([C@@H]2O)O)CO)CO)CO)O
342.297
Number	1H	13C	1H_nh	1H_error	13C_error
1a	5.17	-	1	0.97	-
2a	3.77	76.43	1	0.00	1.34
4a	3.49	72.10	1	0.00	0.78
6a	3.82	77.81	1	0.00	1.01
9a	5.27	94.26	1	0.07	0.50
11a	3.58	74.75	1	0.00	1.44
13a	4.82	-	1	1.32	-
17a	3.91	85.76	1	0.00	1.14
19a	4.06	78.79	1	0.00	1.43
21a	4.22	78.95	1	0.00	0.41
23a	3.21	-	1	0.96	-
24a	3.91	-	1	1.21	-
25b	3.99	61.06	1	0.05	0.90
25a	3.80	61.06	1	0.05	0.90
26a	3.56	-	1	1.27	-
27b	3.70	65.33	1	0.00	2.01
27a	3.51	65.33	1	0.00	2.01
28a	2.17	-	1	1.88	-
29a	3.72	63.05	1	0.01	0.66
29b	3.91	63.05	1	0.01	0.66
30a	4.61	-	1	0.84	-
31a	5.14	-	1	0.95	-
15	-	105.67	-	-	0.92
