α-Bergamoptene
C(CC=C(C)C)C1(C)C2CC1CC=C2C
204.351
Number	1H	13C	1H_nh	1H_error	13C_error
1b	1.61	33.31	1	0.40	2.51
1a	1.26	33.31	1	0.18	2.51
2a,2b	1.96	22.13	2	0.18	1.38
3a	4.99	120.78	1	0.06	1.83
5a,5b,5c,6a,6b,6c	1.66	20.56	6	0.22	3.53
8a,8b,8c	0.92	20.28	3	0.25	2.35
9a	2.45	47.90	1	0.43	4.49
10a	1.15	30.83	1	0.31	0.57
10b	2.33	30.83	1	0.52	0.57
11a	2.18	39.10	1	0.01	0.43
12b	2.22	30.34	1	0.05	0.90
12a	2.15	30.34	1	0.05	0.90
13a	4.99	116.50	1	0.06	1.45
15a,15b,15c	1.70	19.12	3	0.02	2.42
4	-	132.27	-	-	6.79
6	-	20.56	-	-	3.53
7	-	41.20	-	-	0.63
14	-	144.50	-	-	1.71
