β-Caryophyllene epoxide
C[C@@]12[C@@H](CCC([C@@H]3[C@H](C(C)(C)C3)CC2)=C)O1
220.35
Number	1H	13C	1H_nh	1H_error	13C_error
1a,1b,1c	1.29	16.20	3	0.00	0.00
3a	2.64	60.30	1	0.05	0.00
5a,5b	1.73	24.80	2	0.45	0.00
6a,6b	2.37	29.76	2	0.19	1.61
8a	2.38	43.40	1	0.52	0.00
10a	1.78	46.90	1	0.19	0.00
13a,13b,13c	1.05	26.75	3	0.03	1.84
14a,14b,14c	1.00	19.70	3	0.02	2.23
15b	1.80	40.00	1	0.28	0.00
15a	1.31	40.00	1	0.26	0.00
16a,16b	1.44	27.20	2	0.15	0.00
17a,17b	1.51	31.30	2	0.58	0.00
18a,18b	4.61	112.80	2	0.20	0.00
2	-	58.20	-	-	0.00
7	-	152.30	-	-	0.00
12	-	34.10	-	-	0.00
