β-Ionone
C(=CC(=O)C)/C1=C(CCCC1(C)C)C
192.297
Number	1H	13C	1H_nh	1H_error	13C_error
1a	6.78	141.76	1	0.14	1.36
2a	5.87	131.92	1	0.08	1.22
5a,5b,5c	2.29	25.86	3	0.02	1.24
8b	2.04	32.47	1	0.05	1.13
8a	1.97	32.47	1	0.05	1.13
9a	1.57	18.09	1	0.05	0.91
9b	1.64	18.09	1	0.05	0.91
10a	1.37	38.89	1	0.05	0.91
10b	1.44	38.89	1	0.05	0.91
12a,12b,12c	1.04	27.69	3	0.03	1.11
13a,13b,13c	1.06	27.69	3	0.03	1.11
14a,14b,14c	1.74	20.41	3	0.08	1.19
3	-	196.12	-	-	2.94
6	-	135.93	-	-	1.24
7	-	134.41	-	-	2.46
11	-	33.18	-	-	0.92
