β-caryophyllene, trans-caryophyllene
CC1(C)[C@H]2[C@H](C1)C(=C)CC/C=C(CC2)/C
204.351
Number	1H	13C	1H_nh	1H_error	13C_error
1a,1b,1c	1.05	29.92	3	0.04	0.08
3a,3b,3c	1.00	22.76	3	0.02	0.17
4a	1.82	51.81	1	0.18	0.00
6a	2.13	40.03	1	0.52	0.00
8a	1.00	40.38	1	0.29	0.00
8b	1.49	40.38	1	0.34	0.00
10a,10b	4.78	110.18	2	0.20	0.00
11a,11b	2.25	35.43	2	0.23	0.00
12a,12b	2.34	25.04	2	0.08	1.22
13a	5.05	124.82	1	0.14	0.00
15a,15b	1.84	37.47	2	0.21	2.34
16a,16b	1.56	25.51	2	0.35	0.00
17a,17b,17c	1.71	23.11	3	0.01	0.00
2	-	32.99	-	-	0.00
9	-	156.49	-	-	0.00
14	-	136.08	-	-	0.00
